,population_area.PLN_AREA_N,population_area.X_ADDR,population_area.Y_ADDR,income
1,MARINE PARADE,35005.8631,31398.3307,8499.5
2,NORTH-EASTERN ISLANDS,50424.7923,42612.8784,
3,PIONEER,10156.666,32765.2907,
4,JURONG WEST,13708.686,35974.5292,7499.5
5,ANG MO KIO,28976.8763,40229.1238,5499.5
6,BEDOK,38582.665,34032.0961,7499.5
7,BISHAN,28789.763,37450.8865,9499.5
8,BOON LAY,13410.3824,33008.9884,
9,BUKIT BATOK,19255.415,37527.6527,7499.5
10,BUKIT MERAH,26865.7838,28662.8732,5499.5
11,BUKIT PANJANG,21287.0436,38761.8448,7499.5
12,BUKIT TIMAH,23256.7643,34689.0037,16249.5
13,GEYLANG,34255.0407,33683.819,5499.5
14,KALLANG,31685.373,32515.7735,5499.5
15,NOVENA,28221.5058,34356.6386,9499.5
16,PASIR RIS,40795.8397,40066.4108,10499.5
17,HOUGANG,34285.7643,38409.6987,7499.5
18,JURONG EAST,17035.36,33633.6903,
19,LIM CHU KANG,15309.8168,45819.0414,
20,MANDAI,24566.11,45042.5004,
21,PAYA LEBAR,37065.5554,37940.8911,
22,PUNGGOL,36538.4181,43023.5561,9499.5
23,QUEENSTOWN,22573.4605,30164.6999,6499.5
24,SELETAR,32872.3908,44016.2208,
25,SEMBAWANG,26387.3981,48594.6356,8499.5
26,SENGKANG,34051.8248,41466.1775,9499.5
27,SERANGOON,31839.3834,38582.587,9499.5
28,CENTRAL WATER CATCHMENT,24424.4183,39849.0456,
29,CHANGI,46307.4764,36991.4264,
30,SUNGEI KADUT,19558.1699,44434.8383,
31,TAMPINES,41459.4794,36200.4703,8499.5
32,DOWNTOWN CORE,30335.1872,29721.4517,16249.5
33,TANGLIN,26250.0938,32298.9257,20000
34,TENGAH,16363.1893,38432.5474,
35,TOA PAYOH,31083.529,35429.2137,5499.5
36,MARINA EAST,32344.0489,30103.2495,
37,WOODLANDS,22923.7968,46928.6271,7499.5
38,MARINA SOUTH,31595.8357,29220.1873,
39,MUSEUM,29490.7892,30921.3539,
40,NEWTON,28529.6572,32330.4948,
41,CHANGI BAY,49502.4866,34316.5442,
42,CHOA CHU KANG,18415.0527,40833.4225,8499.5
43,CLEMENTI,19923.3584,33319.167,7499.5
44,SINGAPORE RIVER,28878.2147,30279.8445,
45,STRAITS VIEW,30832.9017,28194.0843,
46,SIMPANG,30181.2593,47305.151,
47,SOUTHERN ISLANDS,28281.6947,25069.9827,
48,TUAS,5687.9711,28998.2549,
49,WESTERN ISLANDS,14167.0322,25793.2301,
50,WESTERN WATER CATCHMENT,12020.342,40454.871,
51,YISHUN,28404.036,44086.2199,6499.5
52,ORCHARD,28029.1422,31793.8582,
53,OUTRAM,28972.9577,29477.4886,3499.5
54,RIVER VALLEY,28072.9131,31156.9405,18749.5
55,ROCHOR,30219.3193,31843.5189,
